Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS003 - Age,Windows - Chrome 119.0.0.0,,,28-01-2024 23:38:19,28-01-2024 23:40:26,2m - 6.624s,PASSED
,,,,,,,
Test Cases/ESO/Age Valitadion/A001 - Invalid Age,Windows - Chrome 119.0.0.0,,,28-01-2024 23:38:20,28-01-2024 23:39:09,49.962s,PASSED
"callTestCase(findTestCase(""ESO/Age Valitadion/A000 - Age Validation""), [:], STOP_ON_FAILURE)",Windows - Chrome 119.0.0.0,,,28-01-2024 23:38:20,28-01-2024 23:38:58,38.285s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_month""), helpers.getTodayDate.month())",Windows - Chrome 119.0.0.0,,,28-01-2024 23:38:58,28-01-2024 23:39:00,2.177s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_day""), helpers.getTodayDate.day())",Windows - Chrome 119.0.0.0,,,28-01-2024 23:39:00,28-01-2024 23:39:03,2.113s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_year""), helpers.getTodayDate.UnderYear())",Windows - Chrome 119.0.0.0,,,28-01-2024 23:39:03,28-01-2024 23:39:05,1.993s,PASSED
"click(findTestObject(""ESO/Page_Age_Verification/button_Submit""))",Windows - Chrome 119.0.0.0,,,28-01-2024 23:39:05,28-01-2024 23:39:07,2.845s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/ESO/Page_Age_Verification/h4_Access Denied""))",Windows - Chrome 119.0.0.0,,,28-01-2024 23:39:07,28-01-2024 23:39:09,2.105s,PASSED
,,,,,,,
Test Cases/ESO/Age Valitadion/A002 - Valid Age,Windows - Chrome 119.0.0.0,,,28-01-2024 23:39:09,28-01-2024 23:40:26,1m - 16.473s,PASSED
try,Windows - Chrome 119.0.0.0,,,28-01-2024 23:39:10,28-01-2024 23:39:54,44.092s,FAILED
catch (Exception BrowserNotOpenedException),Windows - Chrome 119.0.0.0,,,28-01-2024 23:39:54,28-01-2024 23:40:26,32.224s,PASSED
