Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS005 - Data Cases,Windows - Chrome 119.0.0.0,,,31-01-2024 01:32:19,31-01-2024 01:43:33,11m - 13.616s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 119.0.0.0,,,31-01-2024 01:32:19,31-01-2024 01:33:23,1m - 3.298s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 119.0.0.0,,,31-01-2024 01:32:20,31-01-2024 01:33:10,49.584s,PASSED
"click(findTestObject(""Object Repository/ESO/Page_Home/i_fa fa-search""))",Windows - Chrome 119.0.0.0,,,31-01-2024 01:33:10,31-01-2024 01:33:12,2.314s,PASSED
"for ([i = 0, i <= 5, (i++)])",Windows - Chrome 119.0.0.0,,,31-01-2024 01:33:12,31-01-2024 01:33:14,2.171s,PASSED
delay(1),Windows - Chrome 119.0.0.0,,,31-01-2024 01:33:14,31-01-2024 01:33:15,1.004s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 119.0.0.0,,,31-01-2024 01:33:15,31-01-2024 01:33:20,4.458s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 119.0.0.0,,,31-01-2024 01:33:20,31-01-2024 01:33:22,2.258s,PASSED
closeBrowser(),Windows - Chrome 119.0.0.0,,,31-01-2024 01:33:22,31-01-2024 01:33:23,0.970s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 119.0.0.0,,,31-01-2024 01:34:42,31-01-2024 01:35:52,1m - 9.245s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 119.0.0.0,,,31-01-2024 01:34:42,31-01-2024 01:35:35,52.148s,PASSED
"click(findTestObject(""Object Repository/ESO/Page_Home/i_fa fa-search""))",Windows - Chrome 119.0.0.0,,,31-01-2024 01:35:35,31-01-2024 01:35:38,3.273s,PASSED
"for ([i = 0, i <= 5, (i++)])",Windows - Chrome 119.0.0.0,,,31-01-2024 01:35:38,31-01-2024 01:35:41,3.004s,PASSED
delay(1),Windows - Chrome 119.0.0.0,,,31-01-2024 01:35:41,31-01-2024 01:35:42,1.016s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 119.0.0.0,,,31-01-2024 01:35:42,31-01-2024 01:35:48,5.677s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 119.0.0.0,,,31-01-2024 01:35:48,31-01-2024 01:35:51,3.008s,PASSED
closeBrowser(),Windows - Chrome 119.0.0.0,,,31-01-2024 01:35:51,31-01-2024 01:35:52,1.103s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 119.0.0.0,,,31-01-2024 01:35:52,31-01-2024 01:36:49,56.958s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 119.0.0.0,,,31-01-2024 01:35:52,31-01-2024 01:36:36,44.085s,PASSED
"click(findTestObject(""Object Repository/ESO/Page_Home/i_fa fa-search""))",Windows - Chrome 119.0.0.0,,,31-01-2024 01:36:36,31-01-2024 01:36:38,2.202s,PASSED
"for ([i = 0, i <= 5, (i++)])",Windows - Chrome 119.0.0.0,,,31-01-2024 01:36:38,31-01-2024 01:36:40,2.178s,PASSED
