Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS005 - DDT,Chrome 120.0.0.0,,,31-01-2024 22:47:48,31-01-2024 22:58:29,10m - 41.753s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Chrome 120.0.0.0,,,31-01-2024 22:47:48,31-01-2024 22:48:06,18.510s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:47:48,31-01-2024 22:47:59,10.890s,PASSED
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:47:59,31-01-2024 22:48:04,4.905s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:48:04,31-01-2024 22:48:05,1.015s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Class_Name)",Chrome 120.0.0.0,,,31-01-2024 22:48:05,31-01-2024 22:48:06,0.596s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,31-01-2024 22:48:06,31-01-2024 22:48:06,0.522s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-01-2024 22:48:06,31-01-2024 22:48:06,0.234s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Chrome 120.0.0.0,,,31-01-2024 22:48:06,31-01-2024 22:48:17,10.906s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:48:06,31-01-2024 22:48:14,7.349s,PASSED
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:48:14,31-01-2024 22:48:15,1.234s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:48:15,31-01-2024 22:48:16,1.012s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Class_Name)",Chrome 120.0.0.0,,,31-01-2024 22:48:16,31-01-2024 22:48:17,0.574s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,31-01-2024 22:48:17,31-01-2024 22:48:17,0.518s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-01-2024 22:48:17,31-01-2024 22:48:17,0.204s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Chrome 120.0.0.0,,,31-01-2024 22:48:17,31-01-2024 22:48:28,10.519s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:48:17,31-01-2024 22:48:24,7.020s,PASSED
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:48:24,31-01-2024 22:48:26,1.203s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:48:26,31-01-2024 22:48:27,1.016s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Class_Name)",Chrome 120.0.0.0,,,31-01-2024 22:48:27,31-01-2024 22:48:27,0.561s,PASSED
