Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS004 - Home,Chrome 120.0.0.0,,,31-01-2024 22:35:31,31-01-2024 22:35:57,25.668s,PASSED
,,,,,,,
Test Cases/ESO/Home Validation/H001 - Home Page,Chrome 120.0.0.0,,,31-01-2024 22:35:31,31-01-2024 22:35:43,12.126s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:35:32,31-01-2024 22:35:41,9.425s,PASSED
"verifyElementVisible(findTestObject(""ESO/Page_Home/h2_LATEST NEWS""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:35:41,31-01-2024 22:35:42,1.146s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Navigation Bar/a_This is ESO""), 0)",Chrome 120.0.0.0,,,31-01-2024 22:35:42,31-01-2024 22:35:43,0.506s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Navigation Bar/a_Classes""), 0)",Chrome 120.0.0.0,,,31-01-2024 22:35:43,31-01-2024 22:35:43,0.277s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Navigation Bar/a_UpdatesDLC""), 0)",Chrome 120.0.0.0,,,31-01-2024 22:35:43,31-01-2024 22:35:43,0.269s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Navigation Bar/a_Patch Notes""), 0)",Chrome 120.0.0.0,,,31-01-2024 22:35:43,31-01-2024 22:35:43,0.269s,PASSED
,,,,,,,
Test Cases/ESO/Home Validation/H002 - Return to Home,Chrome 120.0.0.0,,,31-01-2024 22:35:43,31-01-2024 22:35:57,13.418s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:35:44,31-01-2024 22:35:50,6.621s,PASSED
headerBefore = getWindowTitle(),Chrome 120.0.0.0,,,31-01-2024 22:35:50,31-01-2024 22:35:50,0.022s,PASSED
"verifyMatch(headerBefore, HomeTitle, false)",Chrome 120.0.0.0,,,31-01-2024 22:35:50,31-01-2024 22:35:50,0.244s,PASSED
"callTestCase(findTestCase(""ESO/Home Validation/Buy Now Section/B001 - Buy Now Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:35:50,31-01-2024 22:35:54,3.146s,PASSED
back(),Chrome 120.0.0.0,,,31-01-2024 22:35:54,31-01-2024 22:35:54,0.072s,PASSED
delay(3),Chrome 120.0.0.0,,,31-01-2024 22:35:54,31-01-2024 22:35:57,3.003s,PASSED
headerAfter = getWindowTitle(),Chrome 120.0.0.0,,,31-01-2024 22:35:57,31-01-2024 22:35:57,0.008s,PASSED
"verifyMatch(headerAfter, HomeTitle, false)",Chrome 120.0.0.0,,,31-01-2024 22:35:57,31-01-2024 22:35:57,0.002s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-01-2024 22:35:57,31-01-2024 22:35:57,0.236s,PASSED
